Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C22uF10V,C_0603_1608Metric,-24.638000,-40.005000,0.000000,bottom
C2,C22uF10V,C_0603_1608Metric,-16.256000,-40.005000,0.000000,bottom
C3,C22nF50V,C_0603_1608Metric,-28.448000,-22.098000,180.000000,bottom
C4,C100nF,C_0603_1608Metric,-19.304000,-15.494000,-90.000000,bottom
C5,C470nF,C_0603_1608Metric,-29.210000,-19.812000,-90.000000,bottom
C6,C2u2,C_0603_1608Metric,-29.210000,-16.764000,90.000000,bottom
C7,C100nF,C_0603_1608Metric,-28.448000,-23.736000,180.000000,bottom
C8,C100nF,C_0603_1608Metric,-26.416000,-28.448000,135.000000,bottom
C9,C0u150V,C_0603_1608Metric,-7.874000,-32.385000,180.000000,bottom
C10,C22uF10V,C_0603_1608Metric
,-13.081000,-36.068000,-90.000000,bottom
C11,C0u150V,C_0603_1608Metric,-12.573000,-33.274000,180.000000,bottom
C12,C100nF,C_0603_1608Metric,-25.527000,-15.240000,0.000000,bottom
C13,C1uF,C_0603_1608Metric,-25.527000,-13.335000,180.000000,bottom
C14,C100nF,C_0603_1608Metric,-28.448000,-25.260000,180.000000,bottom
C15,C1uF,C_0603_1608Metric,-28.448000,-26.784000,0.000000,bottom
D1,LED,LED_0402_1005Metric,-18.542000,-28.956000,180.000000,bottom
D2,LED Red,LED_0402_1005Metric,-7.112000,-9.779000,180.000000,bottom
D3,LED Blue,LED_0402_1005Metric,-3.429000,-9.779000,180.000000,bottom
J1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Horizontal,-22.860000,-2.794000,90.000000,bottom
J2,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Horizontal,-4.445000,-4.567000,180.000000,bottom
J3,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Horizontal,-4.445000,-34.163000,180.000000,bottom
J5,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Horizontal,-29.210000,2.413000,0.000000,bottom
J6,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Horizontal,-30.226000,-43.434000,0.000000,bottom
J7,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Horizontal,-3.175000,-1.778000,180.000000,bottom
J8,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Horizontal,-3.175000,-39.497000,180.000000,bottom
R1,R2k,R_0402_1005Metric,-16.510000,-28.956000,0.000000,bottom
R2,R6k8,R_0402_1005Metric,-29.337000,-13.716000,-90.000000,bottom
R3,2R2,R_0402_1005Metric,-27.559000,-20.193000,45.000000,bottom
R4,0R11,R_0402_1005Metric,-23.495000,-28.702000,135.000000,bottom
R5,0R11,R_0402_1005Metric,-21.864376,-11.831376,135.000000,bottom
R6,R10k,R_0402_1005Metric,-5.207000,-32.385000,0.000000,bottom
R7,R150,R_0402_1005Metric,-5.334000,-9.779000,0.000000,bottom
R8,R100,R_0402_1005Metric,-1.651000,-9.779000,0.000000,bottom
SW1,SW_Push,SW1AB-260-10T28,-15.183000,-14.614000,0.000000,bottom
U2,AMS1117-3.3,SOT-223-3_TabPin2,-18.542000,-35.560000,180.000000,bottom
U3,TMC2130-TA,QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.1mm,-22.860000,-20.650000,0.000000,bottom
,,,21.590000,3.937000,0.000000,top
,,,34.671000,3.810000,0.000000,top
,,,1.016000,-40.132000,0.000000,top
,,,21.336000,-44.958000,0.000000,top
,,,34.798000,-44.831000,0.000000,top
,,,30.861000,-40.005000,0.000000,top
  ,MotorBracker,MotorBracker,0.954955,0.163712,0.000000,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,2.583000,-20.650000,90.000000,top"